                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.31831,                0.37982,                0.25796,                0.81596,                0.99091,                0.99242,                 0.9931,                0.97476,                0.99091,                0.99242,                0.99335,                0.93648,                0.23956,                0.33624,                0.20001,                0.79566,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.3173,                0.38345,                0.25636,                0.81635,                0.99312,                0.98903,                0.99349,                0.97221,                0.99386,                0.98911,                0.99361,                0.92741,                0.23361,                 0.3437,                0.20384,                0.79329,               0.001307,               0.001307,               0.001307
                     37,                 0.3238,                0.37654,                0.25861,                0.82079,                0.99097,                0.99261,                0.99307,                0.97389,                0.99117,                0.99291,                0.99327,                0.93659,                0.24239,                0.35227,                0.20443,                 0.7935,              0.0012872,              0.0012872,              0.0012872
                     38,                0.31806,                 0.3709,                0.25562,                0.81396,                0.98985,                0.99242,                0.99325,                0.97422,                0.98985,                0.99242,                0.99331,                0.93095,                0.24108,                0.33425,                0.19967,                0.79436,              0.0012674,              0.0012674,              0.0012674
                     39,                0.31436,                0.36374,                0.25325,                0.81729,                0.99459,                0.98847,                0.99329,                0.97382,                0.99445,                0.98851,                0.99335,                 0.9327,                 0.2393,                0.32449,                0.20111,                0.79452,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.3181,                0.37096,                0.25497,                0.81664,                0.99316,                0.98948,                0.99369,                0.97077,                0.99337,                0.98996,                0.99377,                0.92877,                0.24307,                0.34856,                0.20224,                0.79507,              0.0012278,              0.0012278,              0.0012278
                     41,                0.31212,                0.37177,                0.25104,                0.81473,                0.99072,                0.99242,                0.99343,                0.97627,                0.99096,                0.99266,                0.99363,                0.93607,                0.23287,                0.33986,                0.18809,                 0.7906,               0.001208,               0.001208,               0.001208
                     42,                0.31402,                0.36829,                0.25181,                0.81507,                0.99357,                0.98212,                0.99299,                0.97303,                0.99382,                0.98259,                 0.9931,                0.92699,                0.24031,                 0.3232,                0.24367,                0.79274,              0.0011882,              0.0011882,              0.0011882
                     43,                0.31271,                0.38501,                0.25153,                0.81553,                0.99049,                0.99313,                0.99335,                0.97499,                0.99039,                0.99266,                0.99346,                0.92542,                0.23651,                0.33242,                0.19646,                0.79127,              0.0011684,              0.0011684,              0.0011684
                     44,                0.30844,                0.36765,                0.24791,                 0.8125,                0.99006,                 0.9912,                0.99339,                0.97383,                0.99031,                0.99144,                0.99356,                0.93403,                0.23855,                0.33693,                0.20079,                0.79023,              0.0011486,              0.0011486,              0.0011486
                     45,                0.31262,                0.37151,                0.24967,                  0.815,                0.99385,                0.98855,                0.99334,                0.97633,                0.99358,                0.98826,                0.99334,                0.92654,                0.23706,                0.33563,                0.19293,                 0.7929,              0.0011288,              0.0011288,              0.0011288
                     46,                0.31281,                   0.36,                0.25059,                0.81535,                0.99136,                0.99242,                 0.9933,                0.97621,                0.99136,                0.99242,                0.99339,                0.93352,                0.24137,                0.33035,                0.19589,                0.79479,               0.001109,               0.001109,               0.001109
                     47,                0.30503,                0.36006,                  0.243,                0.81241,                0.99376,                0.98924,                0.99318,                0.97768,                0.99351,                0.98899,                0.99324,                  0.931,                0.22461,                0.33311,                0.18673,                0.78901,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.2995,                0.36227,                0.24064,                0.80994,                0.98862,                0.99315,                0.99322,                0.97535,                0.98862,                0.99315,                0.99322,                0.92759,                0.23247,                0.32457,                0.19435,                0.79159,              0.0010694,              0.0010694,              0.0010694
                     49,                0.30429,                0.36627,                0.24483,                0.81187,                0.98904,                0.99315,                0.99307,                0.97707,                0.99361,                0.98918,                0.99314,                0.92966,                0.23148,                0.33546,                0.18563,                0.78983,              0.0010496,              0.0010496,              0.0010496
                     50,                0.30621,                 0.3481,                0.24327,                0.81335,                 0.9941,                0.98942,                0.99339,                0.97696,                0.99068,                0.99266,                0.99344,                0.93063,                0.24249,                0.34116,                0.19225,                0.79305,              0.0010298,              0.0010298,              0.0010298
                     51,                0.30501,                 0.3595,                0.24378,                0.81164,                0.99193,                0.98924,                0.99317,                0.97803,                0.99242,                0.98973,                0.99335,                0.93735,                0.22837,                0.32091,                0.18472,                0.79143,                0.00101,                0.00101,                0.00101
                     52,                0.30479,                0.36033,                0.24183,                0.81173,                0.99337,                0.98972,                0.99316,                0.97586,                0.99119,                0.99094,                0.99323,                0.93261,                0.23142,                0.32921,                0.18717,                0.79078,              0.0009902,              0.0009902,              0.0009902
