                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     40,                0.31681,                0.36279,                0.25479,                0.81743,                0.99072,                0.99255,                0.99342,                0.97329,                0.99456,                0.98826,                0.99339,                0.92593,                0.23798,                0.33919,                0.20307,                0.79423,              0.0012476,              0.0012476,              0.0012476,             1.7124e+09,                   4468
                     41,                0.31437,                0.38523,                0.25178,                0.81579,                0.99483,                0.98829,                0.99314,                0.97553,                0.99483,                 0.9884,                0.99316,                0.93052,                0.23646,                0.34224,                 0.1973,                0.79225,              0.0012278,              0.0012278,              0.0012278,             1.7124e+09,                   4582
                     42,                0.30878,                0.36311,                0.24908,                0.81453,                0.99096,                 0.9924,                0.99349,                0.97616,                0.99096,                 0.9924,                0.99343,                0.92966,                0.24953,                0.34955,                0.20061,                0.79482,               0.001208,               0.001208,               0.001208,             1.7124e+09,                   4695
                     43,                0.30957,                0.36472,                0.24852,                0.81543,                0.99137,                0.99242,                0.99327,                0.97417,                0.99118,                0.99242,                0.99326,                0.92305,                0.23612,                0.33995,                0.19974,                0.79315,              0.0011882,              0.0011882,              0.0011882,             1.7124e+09,                   4806
                     44,                0.31026,                0.36709,                0.24617,                0.81681,                0.99096,                0.99235,                 0.9933,                0.97663,                0.99096,                0.99235,                0.99331,                0.92933,                0.23629,                0.33264,                0.19456,                0.79211,              0.0011684,              0.0011684,              0.0011684,             1.7124e+09,                   4917
                     45,                0.30567,                 0.3625,                0.24633,                0.81189,                 0.9912,                0.99203,                0.99354,                0.97726,                 0.9912,                0.99203,                0.99343,                0.93696,                0.23067,                0.33397,                0.19004,                0.79315,              0.0011486,              0.0011486,              0.0011486,             1.7124e+09,                   5030
                     46,                 0.3102,                0.36791,                0.24865,                0.81487,                0.99072,                0.99229,                0.99337,                0.97723,                0.99072,                0.99233,                0.99336,                0.93777,                 0.2373,                0.33404,                0.19292,                0.79121,              0.0011288,              0.0011288,              0.0011288,             1.7124e+09,                   5144
                     47,                0.30631,                0.36984,                0.24631,                0.81171,                0.99337,                0.98881,                0.99308,                0.97532,                0.99337,                0.98881,                0.99327,                 0.9248,                 0.2292,                0.33518,                0.19026,                0.79081,               0.001109,               0.001109,               0.001109,             1.7124e+09,                   5258
                     48,                0.30274,                0.36755,                0.24136,                0.81433,                0.99096,                0.99228,                0.99318,                0.97511,                0.99096,                0.99228,                0.99308,                0.92753,                0.23728,                0.32716,                0.19329,                0.79078,              0.0010892,              0.0010892,              0.0010892,             1.7124e+09,                   5370
                     49,                0.30719,                0.36441,                0.24545,                0.81311,                0.99508,                0.97163,                0.99216,                0.97316,                0.99508,                0.97163,                0.99231,                0.92769,                0.23407,                0.34131,                0.25016,                 0.7927,              0.0010694,              0.0010694,              0.0010694,             1.7124e+09,                   5482
                     50,                0.30254,                0.35209,                0.24042,                0.81249,                0.99288,                0.98997,                0.99321,                0.97728,                0.99263,                0.98973,                0.99334,                0.93332,                0.22663,                0.33486,                0.18733,                0.78971,              0.0010496,              0.0010496,              0.0010496,             1.7124e+09,                   5594
                     51,                0.29883,                0.35322,                0.23856,                 0.8112,                 0.9941,                0.98838,                0.99345,                0.97809,                0.99393,                0.98851,                 0.9936,                0.93749,                0.22704,                0.33606,                0.19124,                 0.7896,              0.0010298,              0.0010298,              0.0010298,             1.7124e+09,                   5707
