epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4980.15,0.68036,1.28442,0.41035,0.90968,0.98987,0.99165,0.99278,0.81424,0.98487,0.98664,0.9833,0.73283,0.7047,1.28896,0.40651,0.9109,0.001208,0.001208,0.001208
42,5107.37,0.67677,1.26117,0.40487,0.89961,0.99157,0.99332,0.99288,0.81573,0.98574,0.98748,0.98166,0.73966,0.74253,1.26628,0.41044,0.92569,0.0011882,0.0011882,0.0011882
43,5226.89,0.67093,1.25232,0.40138,0.90907,0.98991,0.99165,0.9925,0.8101,0.98574,0.98748,0.98215,0.73651,0.72445,1.28311,0.39818,0.91839,0.0011684,0.0011684,0.0011684
44,5342.56,0.69383,1.29973,0.40951,0.91129,0.98992,0.99165,0.99234,0.8171,0.98664,0.98831,0.9838,0.73851,0.70371,1.27741,0.38339,0.91423,0.0011486,0.0011486,0.0011486
45,5459.79,0.6838,1.27058,0.40632,0.90592,0.98991,0.99165,0.99235,0.80073,0.98581,0.98748,0.98114,0.72997,0.74357,1.30423,0.40548,0.91964,0.0011288,0.0011288,0.0011288
46,5578.27,0.66682,1.23392,0.3978,0.89814,0.98986,0.99165,0.99128,0.80925,0.98656,0.98831,0.98359,0.72122,0.73402,1.28462,0.40786,0.92274,0.001109,0.001109,0.001109
47,5694.26,0.67898,1.26281,0.39811,0.90153,0.98991,0.99165,0.99257,0.82254,0.98574,0.98748,0.98287,0.74212,0.69574,1.28106,0.39385,0.91333,0.0010892,0.0010892,0.0010892
48,5811.92,0.66506,1.26904,0.39818,0.90651,0.98991,0.99165,0.99274,0.82272,0.98741,0.98915,0.9885,0.7478,0.68288,1.26686,0.38172,0.91325,0.0010694,0.0010694,0.0010694
49,5926.79,0.66291,1.22572,0.39455,0.90086,0.99237,0.99416,0.99351,0.82078,0.98737,0.98915,0.98906,0.74632,0.68677,1.26867,0.39059,0.91474,0.0010496,0.0010496,0.0010496
50,6042.61,0.66045,1.2724,0.39209,0.90141,0.98988,0.99165,0.99301,0.82275,0.98571,0.98748,0.98391,0.74075,0.7088,1.26786,0.3938,0.91229,0.0010298,0.0010298,0.0010298
51,6160.3,0.66398,1.25756,0.38838,0.89733,0.98988,0.99165,0.99252,0.82019,0.98655,0.98831,0.98654,0.74453,0.70211,1.28974,0.38221,0.90729,0.00101,0.00101,0.00101
52,6278.24,0.67114,1.26872,0.39064,0.90696,0.99074,0.99249,0.99318,0.81948,0.98574,0.98748,0.98577,0.74629,0.67997,1.24861,0.38037,0.91088,0.0009902,0.0009902,0.0009902
53,6393.83,0.64324,1.22854,0.39068,0.89038,0.99232,0.99416,0.99353,0.8225,0.98732,0.98915,0.99027,0.74278,0.66716,1.2446,0.38128,0.90556,0.0009704,0.0009704,0.0009704
54,6510.92,0.65545,1.2397,0.3844,0.89664,0.99154,0.99332,0.99341,0.83083,0.98737,0.98915,0.98961,0.75033,0.65957,1.2503,0.3735,0.90133,0.0009506,0.0009506,0.0009506
